districtid,monthid,neighborhoodzscore,statezscore
188,2,-0.45,-0.2
188,3,-0.46,-0.97
188,4,-0.45,-0.96
188,5,-0.45,-0.33
188,6,-0.45,-0.26
188,7,-0.45,-0.42
189,1,0.0,0.0
189,2,-0.18,-0.12
189,3,-0.46,-0.13
189,4,-0.28,-0.07
189,5,-0.86,-0.4
189,6,-0.81,-0.35
189,7,-1.13,-0.21
190,1,0.0,0.0
190,2,-0.43,-0.4
190,3,-0.46,-0.46
190,4,-0.14,-0.13
190,5,0.46,1.02
190,6,0.61,0.92
190,7,0.22,0.24
191,1,0.0,0.0
191,2,0.0,-0.2
191,3,0.72,1.95
191,4,0.01,0.49
191,5,5.59,0.49
191,6,4.49,0.21
191,7,4.33,0.5
192,1,0.0,0.0
192,2,-0.45,0.0
192,3,-0.68,-0.19
192,4,-0.94,-0.48
192,5,-0.78,-0.63
192,6,-0.8,-0.3
192,7,-0.82,-0.29
193,1,0.0,0.0
193,2,-0.4,0.0
193,3,2.08,-0.21
193,4,2.23,-0.45
193,5,-0.35,-0.51
193,6,0.07,-0.53
193,7,0.09,-0.58
194,1,0.0,0.0
194,2,0.0,-0.23
194,3,-0.84,-0.38
194,4,-3.8,-0.67
194,5,-0.88,-0.34
194,6,-0.37,0.01
194,7,2.55,0.52
195,1,0.0,0.0
195,2,-0.44,-0.17
195,3,-0.45,-0.21
195,4,-0.47,-0.29
195,5,-0.8,-0.45
195,6,-0.99,-0.51
195,7,-1.04,-0.53
196,1,0.0,0.0
196,2,0.0,-0.37
196,3,-0.14,-0.33
196,4,-1.42,-0.79
196,5,-1.17,-0.45
196,6,-1.09,-0.78
196,7,-0.73,-0.53
197,1,0.0,0.0
197,2,-0.44,-0.19
197,3,-0.97,-0.71
197,4,-0.96,-0.39
197,5,-1.01,-0.52
197,6,-0.73,-0.33
197,7,-0.73,-0.29
198,1,0.0,0.0
198,2,-0.17,0.17
198,3,-0.52,-0.02
198,4,-0.84,0.26
198,5,-0.27,0.28
198,6,-0.01,0.37
198,7,0.35,0.18
199,1,0.0,0.0
199,2,0.21,0.66
199,3,-0.61,-0.11
199,4,-0.15,1.06
199,5,-0.35,-0.08
199,6,-0.52,-0.38
199,7,-0.48,-0.31
200,1,0.0,0.0
200,2,-0.78,-0.25
200,3,-0.96,-0.28
200,4,-0.5,-0.36
200,5,-0.29,-0.4
200,6,-0.3,-0.53
200,7,-0.23,-0.56
201,1,0.0,0.0
201,2,-1.04,-0.4
201,3,-1.08,-0.73
201,4,-1.2,-0.72
201,5,-0.5,-0.66
201,6,-0.63,-0.58
201,7,-0.29,-0.23
202,1,0.0,0.0
202,2,-1.15,-0.21
202,3,0.4,0.64
202,4,-0.52,-0.04
202,5,-0.69,-0.43
202,6,-0.66,-0.52
202,7,-0.7,-0.56
203,1,0.0,0.0
203,2,0.51,1.72
203,3,-0.31,-0.22
203,4,-0.49,-0.61
203,5,-0.62,-0.23
203,6,0.14,-0.18
203,7,-0.89,-0.63
204,1,0.0,0.0
204,2,-0.6,-0.49
204,3,-0.61,-1.06
204,4,-0.8,-0.48
204,5,-0.59,-0.34
204,6,-0.46,-0.44
204,7,-0.59,-0.49
205,1,0.0,0.0
205,2,0.0,0.0
205,3,-0.54,-0.31
205,4,-0.86,-0.37
205,5,-1.12,-0.56
205,6,0.01,0.15
205,7,-0.78,-0.38
206,1,0.0,0.0
206,2,0.0,-0.43
206,3,-0.69,-0.73
206,4,-0.39,-0.74
206,5,-1.06,-0.78
206,6,-0.14,-0.68
206,7,-1.12,-0.92
207,1,0.0,0.0
207,2,-0.5,-0.43
207,3,-0.89,-0.74
207,4,-1.26,-0.89
207,5,-0.9,-0.66
207,6,-0.86,-0.76
207,7,-0.97,-0.74
208,1,-0.57,0.0
208,2,-0.57,0.0
208,3,-0.58,0.0
208,4,-0.59,-0.72
208,5,-0.7,-0.45
208,6,-0.67,-0.61
208,7,-0.63,-0.55
209,1,0.0,0.0
209,2,-0.54,-0.35
209,3,-0.91,-0.74
209,4,-0.07,-0.27
209,5,-0.2,-0.07
209,6,-0.47,-0.34
209,7,-0.36,-0.37
210,1,0.0,0.0
210,2,2.92,0.0
210,3,16.85,0.0
210,4,0.56,0.0
210,5,1.1,0.0
210,6,1.19,0.0
210,7,20.27,0.0
211,1,-0.41,0.0
211,2,-0.44,-0.25
211,3,-0.53,-0.29
211,4,-0.44,-0.38
211,5,-0.44,-0.45
211,6,-0.53,-0.54
211,7,-0.49,-0.38
212,1,-0.44,0.0
212,2,-0.45,0.0
212,3,-0.44,9.8
212,4,-0.42,7.35
212,5,-0.44,0.65
212,6,-0.44,1.07
212,7,-0.44,0.44
213,1,0.0,0.0
213,2,-0.5,-0.38
213,3,-1.46,-0.43
213,4,-1.54,-0.45
213,5,-2.26,-0.74
213,6,-1.59,-1.37
213,7,-2.87,-1.43
214,1,0.0,0.0
214,2,-0.45,-0.23
214,3,-1.43,-0.81
214,4,-0.88,-0.39
214,5,-0.76,-0.13
214,6,-0.91,-0.6
214,7,-0.56,-0.5
215,1,0.0,0.0
215,2,106.64,182.27
215,3,36.19,71.54
215,4,44.79,64.96
215,5,16.11,15.02
215,6,13.86,11.27
215,7,10.8,7.48
216,1,0.0,0.0
216,2,-0.44,-0.23
216,3,-0.28,-0.28
216,4,-0.35,-0.29
216,5,-0.27,-0.11
216,6,-0.57,-0.35
216,7,-0.4,-0.22
217,1,0.0,0.0
217,2,-0.57,-0.23
217,3,-0.61,-0.33
217,4,-0.47,-0.23
217,5,-0.59,-0.38
217,6,-0.47,-0.32
217,7,-0.45,-0.42
218,1,0.0,0.0
218,2,-0.55,-0.23
218,3,-0.42,-0.23
218,4,-0.5,-0.29
218,5,-0.68,-0.47
218,6,-0.92,-0.58
218,7,-0.88,-0.54
219,1,0.0,0.0
219,2,-0.88,-0.49
219,3,0.49,0.35
219,4,-0.71,-0.42
219,5,-0.72,-0.23
219,6,-0.77,-0.38
219,7,-0.81,-0.34
220,1,0.0,0.0
220,2,-0.78,-0.49
220,3,-1.29,-0.84
220,4,-0.71,-0.45
220,5,-0.88,-0.31
220,6,-1.39,-0.33
220,7,-1.24,-0.24
221,1,0.0,0.0
221,2,-0.73,-0.49
221,3,-0.56,-0.59
221,4,-0.8,-0.5
221,5,-0.78,-0.34
221,6,-0.93,-0.4
221,7,-1.08,-0.27
222,1,0.0,0.0
222,2,-0.6,-0.35
222,3,-0.2,-0.53
222,4,-0.06,-0.54
222,5,-0.56,-0.67
